site,site.abbrev,plot.treat,plot.orient,species,quad,grid,treat,bloom.start,bloom.end,date.harvest,num.flowers,num.fruits,height,leaf.length,X.stems,X.leaves,num.sharpie.flowers,fruit.collected,dev.seed1,undev.seed1,weight.1,dev.seed,undev.seed,seed.weight
WG3C,WG3C,control,north,Potentilla pulcherrima,6,A,open-hand,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,25,NA,0.008,0,NA,0
WG3C,WG3C,control,north,Potentilla pulcherrima,13,K,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
WG3C,WG3C,control,north,Potentilla pulcherrima,13,E,open,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
WG3C,WG3C,control,north,Potentilla pulcherrima,13,C,open-hand,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,0.061
WG3C,WG3C,control,north,Potentilla pulcherrima,14,O,open,7/25/19,08/06/2019,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,0.01
WG3C,WG3C,control,north,Potentilla pulcherrima,14,G,open-hand,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,0.013
WG3C,WG3C,control,north,Potentilla pulcherrima,14,N,open-hand,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,0.02
WG3C,WG3C,control,north,Potentilla pulcherrima,16,I,open-hand,7/29/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,0.012
WG3C,WG3C,control,north,Potentilla pulcherrima,17,L,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,0.005
WG3C,WG3C,control,north,Potentilla pulcherrima,18,J,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,0.054
WG3C,WG3C,control,north,Potentilla pulcherrima,18,I,open-hand,NA,08/06/2019,NA,13,NA,NA,NA,NA,NA,8,NA,171,NA,0.034,81,NA,0.036
AveryPicnic,AP,manip,north,Potentilla pulcherrima,1,J,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,0.009
AveryPicnic,AP,manip,north,Potentilla pulcherrima,1,M,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,26,NA,0.006,76,NA,0.016
AveryPicnic,AP,manip,north,Potentilla pulcherrima,2,P,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,0.033
AveryPicnic,AP,manip,north,Potentilla pulcherrima,2,O,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,NA,0.034
AveryPicnic,AP,manip,north,Potentilla pulcherrima,3,B,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,0.017
AveryPicnic,AP,manip,north,Potentilla pulcherrima,8,F,open,7/30/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,0.002
AveryPicnic,AP,manip,north,Potentilla pulcherrima,8,J,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,0.017
AveryPicnic,AP,manip,north,Potentilla pulcherrima,9,N,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,0.035
AveryPicnic,AP,manip,north,Potentilla pulcherrima,14,P,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,NA,0.055
AveryPicnic,AP,manip,north,Potentilla pulcherrima,14,O,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264,NA,0.062
AveryPicnic,AP,manip,north,Potentilla pulcherrima,16,M,open,7/26/19,08/05/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,0.061
AveryPicnic,AP,manip,north,Potentilla pulcherrima,16,H,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,0.072
AveryPicnic,AP,manip,north,Potentilla pulcherrima,17,J,open,7/26/19,08/05/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,0.039
AveryPicnic,AP,manip,north,Potentilla pulcherrima,17,L,open-hand,7/26/19,08/05/2019,NA,NA,NA,NA,NA,NA,NA,1,NA,21,NA,0.005,116,NA,0.028
AveryPicnic,AP,manip,north,Potentilla pulcherrima,24,F,open,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,0.009
AveryPicnic,AP,manip,north,Potentilla pulcherrima,24,I,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,59,NA,0.007,193,NA,0.052
AveryPicnic,AP,manip,north,Potentilla pulcherrima,25,J,open,7/26/19,08/05/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,0.059
AveryPicnic,AP,manip,north,Potentilla pulcherrima,25,I,open-hand,7/26/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,0.025
BellviewBench,BB,manip,south,Potentilla pulcherrima,7,A,open,7/26/19,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,0.01
BellviewBench,BB,manip,south,Potentilla pulcherrima,7,I,open-hand,7/26/19,NA,NA,21,NA,NA,NA,NA,NA,2,NA,3,NA,0,0,NA,0
BellviewBench,BB,manip,south,Potentilla pulcherrima,8,C,open,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
BellviewBench,BB,manip,south,Potentilla pulcherrima,8,C,open-hand,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0
BellviewBench,BB,manip,south,Potentilla pulcherrima,13,O,open,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,0.007
BellviewBench,BB,manip,south,Potentilla pulcherrima,13,D,open,7/26/19,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,0.024
BellviewBench,BB,manip,south,Potentilla pulcherrima,13,O,open,7/31/19,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,NA,0.027
BellviewBench,BB,manip,south,Potentilla pulcherrima,13,O,open-hand,NA,NA,NA,34,NA,NA,NA,NA,NA,5,NA,89,NA,0.012,380,NA,0.085
BellviewBench,BB,manip,south,Potentilla pulcherrima,13,I,open-hand,7/31/19,NA,NA,19,NA,NA,NA,NA,NA,1,NA,14,NA,0,0,NA,0
BellviewBench,BB,manip,south,Potentilla pulcherrima,19,B,open,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,0.006
BellviewBench,BB,manip,south,Potentilla pulcherrima,19,A,open-hand,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,0.05
BellviewBench,BB,manip,south,Potentilla pulcherrima,20,H,open-hand,7/26/19,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,0.022
BellviewBench,BB,manip,south,Potentilla pulcherrima,23,B,open,7/26/19,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,NA,0.063
BellviewBench,BB,manip,south,Potentilla pulcherrima,23,B,open-hand,7/26/19,NA,NA,20,NA,NA,NA,NA,NA,3,NA,39,NA,0.012,195,NA,0.048
BellviewBench,BB,manip,south,Potentilla pulcherrima,30,A,open,7/26/19,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,0.027
BellviewBench,BB,manip,south,Potentilla pulcherrima,30,A,open-hand,7/26/19,NA,NA,26,NA,NA,NA,NA,NA,6,NA,82,NA,0.013,311,NA,0.085
Meridian,MR,manip,south,Potentilla pulcherrima,4,G,open,7/25/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,0.054
Meridian,MR,manip,south,Potentilla pulcherrima,4,N,open-hand,7/25/19,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,0.028
Meridian,MR,manip,south,Potentilla pulcherrima,7,F,open,7/29/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,NA,0.073
Meridian,MR,manip,south,Potentilla pulcherrima,7,O,open-hand,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,55,NA,0.009,68,NA,0.023
Meridian,MR,manip,south,Potentilla pulcherrima,9,G,open,7/25/19,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,0.023
Meridian,MR,manip,south,Potentilla pulcherrima,9,L,open-hand,7/29/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,0.025
Meridian,MR,manip,south,Potentilla pulcherrima,16,F,open,7/25/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,0.036
Meridian,MR,manip,south,Potentilla pulcherrima,16,J,open-hand,7/25/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,0.022
Meridian,MR,manip,south,Potentilla pulcherrima,18,D,open,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,0.03
Meridian,MR,manip,south,Potentilla pulcherrima,18,B,open-hand,7/29/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,0.017
Meridian,MR,manip,south,Potentilla pulcherrima,20,K,open,7/29/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,0.074
Meridian,MR,manip,south,Potentilla pulcherrima,20,O,open-hand,7/25/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,0.094
Meridian,MR,manip,south,Potentilla pulcherrima,24,P,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583,NA,0.219
Meridian,MR,manip,south,Potentilla pulcherrima,24,F,open-hand,7/25/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,0.096
Meridian,MR,manip,south,Potentilla pulcherrima,28,L,open,7/25/19,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,NA,0.068
Meridian,MR,manip,south,Potentilla pulcherrima,29,F,open-hand,7/25/19,08/02/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,NA,0.047
Pfieler,PF,manip,north,Potentilla pulcherrima,3,E,open-hand,07/11/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,1,NA,12,NA,0,264,NA,0.088
Pfieler,PF,manip,north,Potentilla pulcherrima,4,J,open,07/09/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,NA,0.041
Pfieler,PF,manip,north,Potentilla pulcherrima,7,M,open,07/09/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,0.088
Pfieler,PF,manip,north,Potentilla pulcherrima,8,H,open-hand,07/11/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,3,NA,13,NA,0,484,NA,0.161
Pfieler,PF,manip,north,Potentilla pulcherrima,11,M,open,07/09/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634,NA,0.233
Pfieler,PF,manip,north,Potentilla pulcherrima,11,B,open-hand,07/11/2019,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,42,NA,0.009,446,NA,0.141
Pfieler,PF,manip,north,Potentilla pulcherrima,16,E,open,07/09/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455,NA,0.172
Pfieler,PF,manip,north,Potentilla pulcherrima,16,I,open-hand,07/11/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426,NA,0.165
Pfieler,PF,manip,north,Potentilla pulcherrima,17,C,open-hand,07/11/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233,NA,0.086
Pfieler,PF,manip,north,Potentilla pulcherrima,18,P,open,07/09/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,NA,0.143
Pfieler,PF,manip,north,Potentilla pulcherrima,18,A,open,07/09/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405,NA,0.16
Pfieler,PF,manip,north,Potentilla pulcherrima,18,C,open-hand,07/11/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271,NA,0.093
Pfieler,PF,manip,north,Potentilla pulcherrima,19,P,open,07/09/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,NA,0.102
Pfieler,PF,manip,north,Potentilla pulcherrima,24,N,open,07/09/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717,NA,0.184
Pfieler,PF,manip,north,Potentilla pulcherrima,24,G,open-hand,07/11/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,0.132
Pfieler,PF,manip,north,Potentilla pulcherrima,25,N,open-hand,07/11/2019,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197,NA,0.055
RustlersGulch,RG,manip,south,Potentilla pulcherrima,4,E,open,7/31/19,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,0.008
RustlersGulch,RG,manip,south,Potentilla pulcherrima,4,F,open-hand,7/24/19,NA,NA,10,NA,NA,NA,NA,NA,3,NA,42,NA,0.004,91,NA,0.023
RustlersGulch,RG,manip,south,Potentilla pulcherrima,9,C,open,7/31/19,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,0.011
RustlersGulch,RG,manip,south,Potentilla pulcherrima,9,I,open-hand,7/24/19,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,0.028
RustlersGulch,RG,manip,south,Potentilla pulcherrima,11,P,open,7/24/19,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,0.048
RustlersGulch,RG,manip,south,Potentilla pulcherrima,11,E,open-hand,7/24/19,NA,NA,11,NA,NA,NA,NA,NA,2,NA,31,NA,0.005,138,NA,0.028
RustlersGulch,RG,manip,south,Potentilla pulcherrima,16,I,open,7/31/19,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,0.005
RustlersGulch,RG,manip,south,Potentilla pulcherrima,16,J,open-hand,7/24/19,NA,NA,20,NA,NA,NA,NA,NA,2,NA,48,NA,0.007,130,NA,0.021
RustlersGulch,RG,manip,south,Potentilla pulcherrima,20,I,open,7/24/19,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157,NA,0.045
RustlersGulch,RG,manip,south,Potentilla pulcherrima,20,P,open-hand,7/24/19,NA,NA,13,NA,NA,NA,NA,NA,1,NA,22,NA,0.002,117,NA,0.023
RustlersGulch,RG,manip,south,Potentilla pulcherrima,23,P,open,7/31/19,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101,NA,0.015
RustlersGulch,RG,manip,south,Potentilla pulcherrima,23,M,open-hand,7/24/19,NA,NA,18,NA,NA,NA,NA,NA,3,NA,30,NA,0.007,109,NA,0.031
RustlersGulch,RG,manip,south,Potentilla pulcherrima,26,O,open,7/24/19,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,0.054
RustlersGulch,RG,manip,south,Potentilla pulcherrima,26,M,open-hand,7/24/19,NA,NA,16,NA,NA,NA,NA,NA,2,NA,20,NA,0,244,NA,0.056
RustlersGulch,RG,manip,south,Potentilla pulcherrima,30,O,open,7/24/19,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207,NA,0.079
RustlersGulch,RG,manip,south,Potentilla pulcherrima,30,J,open-hand,7/24/19,NA,NA,19,NA,NA,NA,NA,NA,1,NA,21,NA,0.006,65,NA,0.013
StupidFalls,SF,manip,south,Potentilla pulcherrima,3,B,open,07/08/2019,08/08/2019,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,0.028
StupidFalls,SF,manip,south,Potentilla pulcherrima,3,C,open-hand,07/08/2019,08/08/2019,08/08/2019,20,20,NA,NA,NA,NA,NA,20,NA,NA,NA,150,NA,0.086
StupidFalls,SF,manip,south,Potentilla pulcherrima,7,O,open,07/08/2019,08/08/2019,08/08/2019,21,21,NA,NA,NA,NA,NA,21,NA,NA,NA,165,NA,0.069
StupidFalls,SF,manip,south,Potentilla pulcherrima,7,M,open-hand,07/08/2019,08/08/2019,08/08/2019,24,24,NA,NA,NA,NA,NA,24,NA,NA,NA,263,NA,0.105
StupidFalls,SF,manip,south,Potentilla pulcherrima,9,N,open,07/08/2019,08/08/2019,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,0.094
StupidFalls,SF,manip,south,Potentilla pulcherrima,9,A,open-hand,07/08/2019,08/08/2019,08/08/2019,7,7,NA,NA,NA,NA,NA,7,NA,NA,NA,112,NA,0.045
StupidFalls,SF,manip,south,Potentilla pulcherrima,13,H,open,07/08/2019,08/08/2019,08/08/2019,7,7,NA,NA,NA,NA,NA,7,NA,NA,NA,98,NA,0.044
StupidFalls,SF,manip,south,Potentilla pulcherrima,13,I,open-hand,07/08/2019,08/08/2019,08/08/2019,25,25,NA,NA,NA,NA,NA,25,NA,NA,NA,362,NA,0.101
StupidFalls,SF,manip,south,Potentilla pulcherrima,16,F,open,07/08/2019,08/08/2019,08/08/2019,8,8,NA,NA,NA,NA,NA,8,NA,NA,NA,77,NA,0.025
StupidFalls,SF,manip,south,Potentilla pulcherrima,16,N,open-hand,07/08/2019,08/08/2019,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,0.046
StupidFalls,SF,manip,south,Potentilla pulcherrima,26,H,open,07/08/2019,08/08/2019,08/08/2019,27,27,NA,NA,NA,NA,NA,27,NA,NA,NA,393,NA,0.114
StupidFalls,SF,manip,south,Potentilla pulcherrima,26,M,open-hand,07/08/2019,08/08/2019,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,NA,0.125
StupidFalls,SF,manip,south,Potentilla pulcherrima,28,E,open,07/08/2019,08/08/2019,08/08/2019,38,38,NA,NA,NA,NA,NA,38,NA,NA,NA,282,NA,0.099
StupidFalls,SF,manip,south,Potentilla pulcherrima,28,F,open-hand,07/08/2019,08/08/2019,08/08/2019,15,15,NA,NA,NA,NA,NA,15,NA,NA,NA,271,NA,0.095
StupidFalls,SF,manip,south,Potentilla pulcherrima,30,C,open,07/08/2019,08/08/2019,08/08/2019,8,8,NA,NA,NA,NA,NA,8,NA,NA,NA,83,NA,0.031
StupidFalls,SF,manip,south,Potentilla pulcherrima,30,D,open-hand,07/08/2019,08/08/2019,08/08/2019,16,16,NA,NA,NA,NA,NA,16,NA,NA,NA,242,NA,0.074
WG3C,WG3C,manip,south,Potentilla pulcherrima,2,E,open-hand,7/25/19,08/06/2019,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,0.043
WG3C,WG3C,manip,south,Potentilla pulcherrima,4,F,open,7/25/19,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA,0.036
WG3C,WG3C,manip,south,Potentilla pulcherrima,4,K,open-hand,7/25/19,08/06/2019,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,0.011
WG3C,WG3C,manip,south,Potentilla pulcherrima,8,J,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,NA,0.089
WG3C,WG3C,manip,south,Potentilla pulcherrima,8,E,open-hand,7/25/19,08/06/2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,0.062
WG3C,WG3C,manip,south,Potentilla pulcherrima,10,H,open,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,0
WG3C,WG3C,manip,south,Potentilla pulcherrima,13,H,open,7/25/19,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,NA,0.054
WG3C,WG3C,manip,south,Potentilla pulcherrima,13,J,open-hand,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,NA,0.014
WG3C,WG3C,manip,south,Potentilla pulcherrima,16,P,open,NA,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,0.025
WG3C,WG3C,manip,south,Potentilla pulcherrima,17,C,open-hand,7/25/19,08/06/2019,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247,NA,0.1
WG3C,WG3C,manip,south,Potentilla pulcherrima,20,G,open-hand,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,NA,0.097
WG3C,WG3C,manip,south,Potentilla pulcherrima,21,P,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557,NA,0.184
WG3C,WG3C,manip,south,Potentilla pulcherrima,28,D,open,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,0.024
WG3C,WG3C,manip,south,Potentilla pulcherrima,29,J,open,7/25/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,0.041
WG3C,WG3C,manip,south,Potentilla pulcherrima,29,H,open-hand,7/29/19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,0.004,42,NA,0.014
AveryPicnic,AP,control,south,Ranunculus inamoenus,10,C,open,6/28/19,NA,NA,3,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,131,6,0.032
AveryPicnic,AP,control,south,Ranunculus inamoenus,14,F,open,6/28/19,NA,NA,3,NA,18.4,NA,NA,NA,NA,NA,NA,NA,NA,151,6,0.037
AveryPicnic,AP,control,south,Ranunculus inamoenus,18,H,exclusion,6/25/19,7/30/19,NA,4,NA,13.2,NA,NA,NA,NA,NA,50,3,0.007,98,39,0.013
AveryPicnic,AP,control,south,Ranunculus inamoenus,18,D,open,6/28/19,7/16/19,NA,2,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,130,16,0.032
AveryPicnic,AP,control,south,Ranunculus inamoenus,20,D,exclusion,6/25/19,7/30/19,NA,5,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,56,28,0.007
AveryPicnic,AP,control,south,Ranunculus inamoenus,20,D,open,6/21/19,7/30/19,NA,2,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,131,36,0.035
AveryPicnic,AP,control,south,Ranunculus inamoenus,24,G,open,6/25/19,NA,NA,3,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,16,11,0.004
AveryPicnic,AP,control,south,Ranunculus inamoenus,24,G,open,6/25/19,7/30/19,NA,3,NA,6.4,NA,NA,NA,NA,NA,NA,NA,NA,44,6,0.011
AveryPicnic,AP,control,south,Ranunculus inamoenus,26,M,open,6/21/19,7/30/19,NA,6,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,88,19,0.016
AveryPicnic,AP,control,south,Ranunculus inamoenus,27,H,exclusion,NA,7/30/19,NA,2,NA,6.2,NA,NA,NA,NA,NA,NA,NA,NA,47,53,0.005
AveryPicnic,AP,control,south,Ranunculus inamoenus,29,B,open,6/21/19,07/05/2019,NA,3,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,11,34,0
BellviewBench,BB,control,north,Ranunculus inamoenus,8,K,open,07/12/2019,7/17/19,NA,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,41,8,0.005
BellviewBench,BB,control,north,Ranunculus inamoenus,8,NA,open,07/12/2019,7/31/19,NA,3,NA,8.6,NA,NA,NA,NA,NA,68,7,0.019,133,27,0.022
BellviewBench,BB,control,north,Ranunculus inamoenus,30,NA,open,07/12/2019,7/31/19,NA,3,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,89,110,0.017
BellviewBench,BB,control,north,Ranunculus inamoenus,30,NA,open,07/12/2019,7/31/19,NA,2,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,127,32,0.028
BellviewBench,BB,control,north,Ranunculus inamoenus,30,NA,open,07/12/2019,NA,NA,3,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,128,33,0.022
BellviewBench,BB,control,north,Ranunculus inamoenus,30,NA,open,07/12/2019,7/31/19,NA,3,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,224,28,0.032
Meridian,MR,control,north,Ranunculus inamoenus,6,A,open,6/27/19,07/09/2019,NA,2,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,67,14,0.013
Meridian,MR,control,north,Ranunculus inamoenus,6,I,open,6/20/19,7/15/19,NA,3,NA,19.2,NA,NA,NA,NA,NA,NA,NA,NA,187,23,0.042
Meridian,MR,control,north,Ranunculus inamoenus,7,L,exclusion,6/27/19,7/15/19,NA,2,NA,18.6,NA,NA,NA,NA,NA,NA,NA,NA,115,7,0.019
Meridian,MR,control,north,Ranunculus inamoenus,7,G,open,6/21/19,7/15/19,NA,2,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,102,12,0.022
Meridian,MR,control,north,Ranunculus inamoenus,8,E,open,6/21/19,07/11/2019,NA,2,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,73,8,0.009
Meridian,MR,control,north,Ranunculus inamoenus,9,E,open,6/20/19,07/11/2019,NA,3,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,36,56,0
Meridian,MR,control,north,Ranunculus inamoenus,12,O,exclusion,6/21/19,07/11/2019,NA,2,NA,12.6,NA,NA,NA,NA,NA,NA,NA,NA,76,36,0.015
Meridian,MR,control,north,Ranunculus inamoenus,12,C,exclusion,6/27/19,07/09/2019,NA,2,NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,110,30,0.014
Meridian,MR,control,north,Ranunculus inamoenus,14,I,open,6/27/19,7/15/19,NA,2,NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,68,5,0.011
Meridian,MR,control,north,Ranunculus inamoenus,17,M,open,6/21/19,07/09/2019,NA,3,NA,12.8,NA,NA,NA,NA,NA,NA,NA,NA,120,16,0.023
Meridian,MR,control,north,Ranunculus inamoenus,18,P,exclusion,6/21/19,07/11/2019,NA,2,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,126,32,0.02
Meridian,MR,control,north,Ranunculus inamoenus,18,O,open,6/27/19,07/03/2019,NA,2,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,42,13,0.006
Meridian,MR,control,north,Ranunculus inamoenus,20,B,exclusion,6/27/19,7/15/19,NA,2,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,54,11,0.007
RustlersGulch,RG,control,north,Ranunculus inamoenus,2,M,open,6/26/19,07/02/2019,NA,1,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,35,8,0.009
